"","lon","lat","date","windspeed"
"90",-124.375,40.5,3899520,4.62584326474676
"91",-124.375,40.5,3942720,4.68588875665005
"92",-124.375,40.5,3987360,4.54128186493628
"93",-124.375,40.5,4032000,4.20255569726131
"94",-124.375,40.5,4075200,1.50381488602461
"95",-124.375,40.5,4119840,0.447029911129493
"96",-124.375,40.5,4163040,2.10681438185153
"97",-124.375,40.5,4207680,2.35224356821298
"98",-124.375,40.5,4252320,2.71702799227129
"99",-124.375,40.5,4294080,3.65355792856364
"100",-124.375,40.5,4338720,1.34318380510099
"101",-124.375,40.5,4381920,2.42605216608734
"102",-124.375,40.5,4426560,4.54447826049217
"103",-124.375,40.5,4469760,5.39663788185549
"104",-124.375,40.5,4514400,4.81611447400272
"105",-124.375,40.5,4559040,3.88189725666212
"106",-124.375,40.5,4602240,1.65223220954629
"107",-124.375,40.5,4646880,1.78025726526523
"108",-124.375,40.5,4690080,1.45474628312987
"109",-124.375,40.5,4734720,2.12992689009544
"110",-124.375,40.5,4779360,0.824103606343981
"111",-124.375,40.5,4819680,3.1531478152717
"112",-124.375,40.5,4864320,0.505089323396524
"113",-124.375,40.5,4907520,4.63703905532881
"114",-124.375,40.5,4952160,3.4866458478548
"115",-124.375,40.5,4995360,5.69279158035461
"116",-124.375,40.5,5040000,5.3122268406736
"117",-124.375,40.5,5084640,1.68837289808165
"118",-124.375,40.5,5127840,1.97905793549184
"119",-124.375,40.5,5172480,2.19450490027121
"120",-124.375,40.5,5215680,1.15098742114027
"121",-124.375,40.5,5260320,0.256428255126957
"122",-124.375,40.5,5304960,1.30161145380243
"123",-124.375,40.5,5345280,1.13620119346766
"124",-124.375,40.5,5389920,3.03790115401711
"125",-124.375,40.5,5433120,2.62340377152213
"126",-124.375,40.5,5477760,3.73608350600909
"127",-124.375,40.5,5520960,3.75152880079488
"128",-124.375,40.5,5565600,2.53523953619191
"129",-124.375,40.5,5610240,2.99567102078414
"130",-124.375,40.5,5653440,3.62755202320778
"131",-124.375,40.5,5698080,2.94351949094632
"132",-124.375,40.5,5741280,3.31074903328444
"133",-124.375,40.5,5785920,1.06833528033886
